Siddharth Mishra ,sidd.mishra@berkeley.edu,Ashvin Verma,ashvin.verma@berkeley.edu,Vagmi Padmanabham,vagmipadmanabham@berkeley.edu,,,,,,
Instructions,,,,,,,,,,,
"Fill in the cells with the YELLOW highlight. Do not edit red cells. Fill out the Digi-Key part # OR the Mouser Part #, DO NOT fill out both.  Choose the cheapest distributor that has the part in stock. If the part is not in stock by the time we order parts, there is a risk that we will not purchase it. ",,,,,,,,,,,Total Price for Project
,,,,,,,,,,,107.99
"Qty
(for 1 board)",Manufacturer Part #,Digi-key Part#/SKU,Description,Price/unit ($),Purchase URL,"Reference
Designator",MOUSER #,Datasheet Link,Multiple,Total Qty,Total Price/part ($)
1,1050170001,WM1399TR-ND,Micro USB,1.01,https://www.digikey.com/en/products/detail/molex/1050170001/2350832,,,https://www.molex.com/pdm_docs/sd/1050170001_sd.pdf,4,4,4.04
1,1965-ESP32-S2-SOLO-2-N4-ND,ESP32-S2-SOLO-2-N4,ESP 32 Microcontroller,4.84,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S2-SOLO-2-N4/16591892,,,https://www.espressif.com/sites/default/files/documentation/esp32-s2-solo-2_esp32-s2-solo-2u_datasheet_en.pdf,2,2,9.68
1,RC0603FR-072K2L,311-2.20KHRCT-ND,"R1, R14 2.2K",0.021,https://www.digikey.com/en/products/detail/yageo/RC0603FR-072K2L/727016,,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,10,10,0.21
1,RC0805JR-0715KL,311-15KARCT-ND,"R2, R3, R4, R13 15K",0.032,https://www.digikey.com/en/products/detail/yageo/RC0805JR-0715KL/728258,,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,20,20,0.64
1,RC0603JR-0710KL,311-10KGRCT-ND,"R5, R6, R7, R12 10K",0.018,https://www.digikey.com/en/products/detail/yageo/RC0603JR-0710KL/726700,,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,20,20,0.36
1,RC0603FR-071ML,311-1.00MHRCT-ND,"R8, R9, R10, R11 1M ",0.021,https://www.digikey.com/en/products/detail/yageo/RC0603FR-071ML/726844,,,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,20,20,0.42
